Rank;	Iteration;	E0;	
20;	1;	0.000184384;	
20;	2;	0.000184384;	
20;	3;	0.000184384;	
20;	4;	0.000184384;	
20;	5;	0.000184384;	
20;	6;	0.000184384;	
20;	7;	0.000184384;	
20;	8;	0.000184384;	
20;	9;	0.000184384;	
20;	10;	 ;	
21;	0;	0.000184384;	
21;	1;	0.000184384;	
21;	2;	0.000184384;	
21;	3;	0.000184384;	
21;	4;	0.000184384;	
21;	5;	0.000184384;	
21;	6;	0.000184384;	
21;	7;	0.000184384;	
21;	8;	0.000184384;	
21;	9;	0.000184384;	
21;	10;	 ;	
22;	0;	0.000184384;	
22;	1;	0.000184384;	
22;	2;	0.000184384;	
22;	3;	0.000184384;	
22;	4;	0.000184384;	
22;	5;	0.000184384;	
22;	6;	0.000184384;	
22;	7;	0.000184384;	
22;	8;	0.000184384;	
22;	9;	0.000184384;	
22;	10;	 ;	
23;	0;	0.000184384;	
23;	1;	0.000184384;	
23;	2;	0.000184384;	
23;	3;	0.000184384;	
23;	4;	0.000184384;	
23;	5;	0.000184384;	
23;	6;	0.000184384;	
23;	7;	0.000184384;	
23;	8;	0.000184384;	
23;	9;	0.000184384;	
23;	10;	 ;	
24;	0;	0.000184384;	
24;	1;	0.000184384;	
24;	2;	0.000184384;	
24;	3;	0.000184384;	
24;	4;	0.000184384;	
24;	5;	0.000184384;	
24;	6;	0.000184384;	
24;	7;	0.000184384;	
24;	8;	0.000184384;	
24;	9;	0.000184384;	
24;	10;	 ;	
25;	0;	0.000184384;	
25;	1;	0.000184384;	
25;	2;	0.000184384;	
25;	3;	0.000184384;	
25;	4;	0.000184384;	
25;	5;	0.000184384;	
25;	6;	0.000184384;	
25;	7;	0.000184384;	
25;	8;	0.000184384;	
25;	9;	0.000184384;	
25;	10;	 ;	
26;	0;	0.000184384;	
26;	1;	0.000184384;	
26;	2;	0.000184384;	
26;	3;	0.000184384;	
26;	4;	0.000184384;	
26;	5;	0.000184384;	
26;	6;	0.000184384;	
26;	7;	0.000184384;	
26;	8;	0.000184384;	
26;	9;	0.000184384;	
26;	10;	 ;	
27;	0;	0.000184384;	
27;	1;	0.000184384;	
27;	2;	0.000184384;	
27;	3;	0.000184384;	
27;	4;	0.000184384;	
27;	5;	0.000184384;	
27;	6;	0.000184384;	
27;	7;	0.000184384;	
27;	8;	0.000184384;	
27;	9;	0.000184384;	
27;	10;	 ;	
28;	0;	0.000184384;	
28;	1;	0.000184384;	
28;	2;	0.000184384;	
28;	3;	0.000184384;	
28;	4;	0.000184384;	
28;	5;	0.000184384;	
28;	6;	0.000184384;	
28;	7;	0.000184384;	
28;	8;	0.000184384;	
28;	9;	0.000184384;	
28;	10;	 ;	
29;	0;	0.000184384;	
29;	1;	0.000184384;	
29;	2;	0.000184383;	
29;	3;	0.000184384;	
29;	4;	0.000184384;	
29;	5;	0.000184384;	
29;	6;	0.000184384;	
29;	7;	0.000184384;	
29;	8;	0.000184384;	
29;	9;	0.000184383;	
29;	10;	 ;	
30;	0;	0.000184384;	
30;	1;	0.000184384;	
30;	2;	0.000184383;	
30;	3;	0.000184384;	
30;	4;	0.000184384;	
30;	5;	0.000184384;	
30;	6;	0.000184384;	
30;	7;	0.000184384;	
30;	8;	0.000184384;	
30;	9;	0.000184384;	
30;	10;	 ;	
31;	0;	0.000184384;	
31;	1;	0.000184384;	
31;	2;	0.000184383;	
31;	3;	0.000184384;	
31;	4;	0.000184384;	
31;	5;	0.000184384;	
31;	6;	0.000184384;	
31;	7;	0.000184384;	
31;	8;	0.000184384;	
31;	9;	0.000184384;	
31;	10;	 ;	
32;	0;	0.000184384;	
32;	1;	0.000184384;	
32;	2;	0.000184384;	
32;	3;	0.000184384;	
32;	4;	0.000184384;	
32;	5;	0.000184384;	
32;	6;	0.000184384;	
32;	7;	0.000184384;	
32;	8;	0.000184384;	
32;	9;	0.000184384;	
32;	10;	 ;	
33;	0;	0.000184384;	
33;	1;	0.000184384;	
33;	2;	0.000184383;	
33;	3;	0.000184384;	
33;	4;	0.000184384;	
33;	5;	0.000184384;	
33;	6;	0.000184384;	
33;	7;	0.000184384;	
33;	8;	0.000184384;	
33;	9;	0.000184384;	
33;	10;	 ;	
34;	0;	0.000184384;	
34;	1;	0.000184384;	
34;	2;	0.000184385;	
34;	3;	0.000184384;	
34;	4;	0.000184384;	
34;	5;	0.000184384;	
34;	6;	0.000184384;	
34;	7;	0.000184384;	
34;	8;	0.000184384;	
34;	9;	0.000184383;	
34;	10;	 ;	
35;	0;	0.000184384;	
35;	1;	0.000184384;	
35;	2;	0.000184384;	
35;	3;	0.000184384;	
35;	4;	0.000184384;	
35;	5;	0.000184384;	
35;	6;	0.000184384;	
35;	7;	0.000184384;	
35;	8;	0.000184384;	
35;	9;	0.000184384;	
35;	10;	 ;	
36;	0;	0.000184384;	
36;	1;	0.000184384;	
36;	2;	0.000184384;	
36;	3;	0.000184384;	
36;	4;	0.000184384;	
36;	5;	0.000184384;	
36;	6;	0.000184384;	
36;	7;	0.000184384;	
36;	8;	0.000184384;	
36;	9;	0.000184384;	
36;	10;	 ;	
37;	0;	0.000184384;	
37;	1;	0.000184384;	
37;	2;	0.000184384;	
37;	3;	0.000184384;	
37;	4;	0.000184384;	
37;	5;	0.000184384;	
37;	6;	0.000184384;	
37;	7;	0.000184384;	
37;	8;	0.000184384;	
37;	9;	0.000184384;	
37;	10;	 ;	
38;	0;	0.000184384;	
38;	1;	0.000184384;	
38;	2;	0.000184383;	
38;	3;	0.000184384;	
38;	4;	0.000184384;	
38;	5;	0.000184384;	
38;	6;	0.000184384;	
38;	7;	0.000184384;	
38;	8;	0.000184384;	
38;	9;	0.000184383;	
38;	10;	 ;	
39;	0;	0.000184384;	
39;	1;	0.000184384;	
39;	2;	0.000184384;	
39;	3;	0.000184384;	
39;	4;	0.000184384;	
39;	5;	0.000184384;	
39;	6;	0.000184384;	
39;	7;	0.000184384;	
39;	8;	0.000184384;	
39;	9;	0.000184384;	
39;	10;	 ;	
40;	0;	0.000184384;	
40;	1;	0.000184384;	
40;	2;	0.000184384;	
40;	3;	0.000184384;	
40;	4;	0.000184384;	
40;	5;	0.000184384;	
40;	6;	0.000184384;	
40;	7;	0.000184384;	
40;	8;	0.000184384;	
40;	9;	0.000184384;	
40;	10;	 ;	
41;	0;	0.000184384;	
41;	1;	0.000184384;	
41;	2;	0.000184384;	
41;	3;	0.000184384;	
41;	4;	0.000184384;	
41;	5;	0.000184384;	
41;	6;	0.000184384;	
41;	7;	0.000184384;	
41;	8;	0.000184384;	
41;	9;	0.000184384;	
41;	10;	 ;	
42;	0;	0.000184384;	
42;	1;	0.000184384;	
42;	2;	0.000184384;	
42;	3;	0.000184384;	
42;	4;	0.000184384;	
42;	5;	0.000184384;	
42;	6;	0.000184384;	
42;	7;	0.000184384;	
42;	8;	0.000184384;	
42;	9;	0.000184384;	
42;	10;	 ;	
43;	0;	0.000184384;	
43;	1;	0.000184384;	
43;	2;	0.000184384;	
43;	3;	0.000184384;	
43;	4;	0.000184384;	
43;	5;	0.000184384;	
43;	6;	0.000184384;	
43;	7;	0.000184384;	
43;	8;	0.000184384;	
43;	9;	0.000184384;	
43;	10;	 ;	
44;	0;	0.000184384;	
44;	1;	0.000184384;	
44;	2;	0.000184384;	
44;	3;	0.000184384;	
44;	4;	0.000184384;	
44;	5;	0.000184384;	
44;	6;	0.000184384;	
44;	7;	0.000184384;	
44;	8;	0.000184384;	
44;	9;	0.000184384;	
44;	10;	 ;	
45;	0;	0.000184384;	
45;	1;	0.000184384;	
45;	2;	0.000184384;	
45;	3;	0.000184384;	
45;	4;	0.000184384;	
45;	5;	0.000184384;	
45;	6;	0.000184384;	
45;	7;	0.000184384;	
45;	8;	0.000184384;	
45;	9;	0.000184384;	
45;	10;	 ;	
46;	0;	0.000184384;	
46;	1;	0.000184384;	
46;	2;	0.000184383;	
46;	3;	0.000184384;	
46;	4;	0.000184384;	
46;	5;	0.000184384;	
46;	6;	0.000184384;	
46;	7;	0.000184384;	
46;	8;	0.000184384;	
46;	9;	0.000184384;	
46;	10;	 ;	
47;	0;	0.000184384;	
47;	1;	0.000184384;	
47;	2;	0.000184384;	
47;	3;	0.000184384;	
47;	4;	0.000184384;	
47;	5;	0.000184384;	
47;	6;	0.000184384;	
47;	7;	0.000184384;	
47;	8;	0.000184384;	
47;	9;	0.000184384;	
47;	10;	 ;	
48;	0;	0.000184384;	
48;	1;	0.000184384;	
48;	2;	0.000184384;	
48;	3;	0.000184384;	
48;	4;	0.000184384;	
48;	5;	0.000184384;	
48;	6;	0.000184384;	
48;	7;	0.000184384;	
48;	8;	0.000184384;	
48;	9;	0.000184383;	
48;	10;	 ;	
49;	0;	0.000184384;	
49;	1;	0.000184384;	
49;	2;	0.000184384;	
49;	3;	0.000184384;	
49;	4;	0.000184384;	
49;	5;	0.000184384;	
49;	6;	0.000184384;	
49;	7;	0.000184384;	
49;	8;	0.000184384;	
49;	9;	0.000184384;	
49;	10;	 ;	
50;	0;	0.000184384;	
50;	1;	0.000184384;	
50;	2;	0.000184384;	
50;	3;	0.000184384;	
50;	4;	0.000184384;	
50;	5;	0.000184384;	
50;	6;	0.000184384;	
50;	7;	0.000184384;	
50;	8;	0.000184384;	
50;	9;	0.000184384;	
50;	10;	 ;	
51;	0;	0.000184384;	
51;	1;	0.000184384;	
51;	2;	0.000184384;	
51;	3;	0.000184384;	
51;	4;	0.000184384;	
51;	5;	0.000184384;	
51;	6;	0.000184384;	
51;	7;	0.000184384;	
51;	8;	0.000184384;	
51;	9;	0.000184384;	
51;	10;	 ;	
52;	0;	0.000184384;	
52;	1;	0.000184384;	
52;	2;	0.000184383;	
52;	3;	0.000184384;	
52;	4;	0.000184384;	
52;	5;	0.000184384;	
52;	6;	0.000184384;	
52;	7;	0.000184384;	
52;	8;	0.000184384;	
52;	9;	0.000184384;	
52;	10;	 ;	
53;	0;	0.000184384;	
53;	1;	0.000184384;	
53;	2;	0.000184384;	
53;	3;	0.000184384;	
53;	4;	0.000184384;	
53;	5;	0.000184384;	
53;	6;	0.000184384;	
53;	7;	0.000184384;	
53;	8;	0.000184384;	
53;	9;	0.000184384;	
53;	10;	 ;	
54;	0;	0.000184384;	
54;	1;	0.000184384;	
54;	2;	0.000184384;	
54;	3;	0.000184384;	
54;	4;	0.000184384;	
54;	5;	0.000184384;	
54;	6;	0.000184384;	
54;	7;	0.000184384;	
54;	8;	0.000184384;	
54;	9;	0.000184384;	
54;	10;	 ;	
55;	0;	0.000184384;	
55;	1;	0.000184384;	
55;	2;	0.000184383;	
55;	3;	0.000184384;	
55;	4;	0.000184384;	
55;	5;	0.000184384;	
55;	6;	0.000184384;	
55;	7;	0.000184384;	
55;	8;	0.000184384;	
55;	9;	0.000184384;	
55;	10;	 ;	
56;	0;	0.000184384;	
56;	1;	0.000184384;	
56;	2;	0.000184384;	
56;	3;	0.000184384;	
56;	4;	0.000184384;	
56;	5;	0.000184384;	
56;	6;	0.000184384;	
56;	7;	0.000184384;	
56;	8;	0.000184384;	
56;	9;	0.000184384;	
56;	10;	 ;	
57;	0;	0.000184384;	
57;	1;	0.000184384;	
57;	2;	0.000184384;	
57;	3;	0.000184384;	
57;	4;	0.000184384;	
57;	5;	0.000184384;	
57;	6;	0.000184384;	
57;	7;	0.000184384;	
57;	8;	0.000184384;	
57;	9;	0.000184384;	
57;	10;	 ;	
58;	0;	0.000184384;	
58;	1;	0.000184384;	
58;	2;	0.000184383;	
58;	3;	0.000184384;	
58;	4;	0.000184384;	
58;	5;	0.000184384;	
58;	6;	0.000184384;	
58;	7;	0.000184384;	
58;	8;	0.000184384;	
58;	9;	0.000184383;	
58;	10;	 ;	
59;	0;	0.000184384;	
59;	1;	0.000184384;	
59;	2;	0.000184384;	
59;	3;	0.000184384;	
59;	4;	0.000184384;	
59;	5;	0.000184384;	
59;	6;	0.000184384;	
59;	7;	0.000184384;	
59;	8;	0.000184384;	
59;	9;	0.000184384;	
59;	10;	 ;	
60;	0;	0.000184384;	
60;	1;	0.000184384;	
60;	2;	0.000184384;	
60;	3;	0.000184383;	
60;	4;	0.000184384;	
60;	5;	0.000184384;	
60;	6;	0.000184384;	
60;	7;	0.000184384;	
60;	8;	0.000184384;	
60;	9;	0.000184384;	
60;	10;	 ;	
61;	0;	0.000184384;	
61;	1;	0.000184384;	
61;	2;	0.000184384;	
61;	3;	0.000184384;	
61;	4;	0.000184384;	
61;	5;	0.000184384;	
61;	6;	0.000184384;	
61;	7;	0.000184384;	
61;	8;	0.000184384;	
61;	9;	0.000184384;	
61;	10;	 ;	
62;	0;	0.000184384;	
62;	1;	0.000184384;	
62;	2;	0.000184384;	
62;	3;	0.000184384;	
62;	4;	0.000184384;	
62;	5;	0.000184384;	
62;	6;	0.000184384;	
62;	7;	0.000184384;	
62;	8;	0.000184384;	
62;	9;	0.000184384;	
62;	10;	 ;	
63;	0;	0.000184384;	
63;	1;	0.000184384;	
63;	2;	0.000184384;	
63;	3;	0.000184384;	
63;	4;	0.000184384;	
63;	5;	0.000184384;	
63;	6;	0.000184384;	
63;	7;	0.000184384;	
63;	8;	0.000184384;	
63;	9;	0.000184384;	
63;	10;	 ;	
64;	0;	0.000184384;	
64;	1;	0.000184384;	
64;	2;	0.000184384;	
64;	3;	0.000184384;	
64;	4;	0.000184384;	
64;	5;	0.000184384;	
64;	6;	0.000184384;	
64;	7;	0.000184384;	
64;	8;	0.000184384;	
64;	9;	0.000184384;	
64;	10;	 ;	
65;	0;	0.000184384;	
65;	1;	0.000184384;	
65;	2;	0.000184385;	
65;	3;	0.000184384;	
65;	4;	0.000184384;	
65;	5;	0.000184384;	
65;	6;	0.000184384;	
65;	7;	0.000184384;	
65;	8;	0.000184384;	
65;	9;	0.000184383;	
65;	10;	 ;	
66;	0;	0.000184382;	
66;	1;	0.000184384;	
66;	2;	0.000184385;	
66;	3;	0.000184382;	
66;	4;	0.000184385;	
66;	5;	0.000184384;	
66;	6;	0.000184384;	
66;	7;	0.000184382;	
66;	8;	0.000184384;	
66;	9;	0.000184384;	
66;	10;	 ;	
67;	0;	0.000184384;	
67;	1;	0.000184384;	
67;	2;	0.000184384;	
67;	3;	0.000184384;	
67;	4;	0.000184384;	
67;	5;	0.000184384;	
67;	6;	0.000184384;	
67;	7;	0.000184384;	
67;	8;	0.000184384;	
67;	9;	0.000184384;	
67;	10;	 ;	
68;	0;	0.000184384;	
68;	1;	0.000184384;	
68;	2;	0.000184384;	
68;	3;	0.000184384;	
68;	4;	0.000184384;	
68;	5;	0.000184384;	
68;	6;	0.000184384;	
68;	7;	0.000184384;	
68;	8;	0.000184384;	
68;	9;	0.000184384;	
68;	10;	 ;	
69;	0;	0.000184384;	
69;	1;	0.000184384;	
69;	2;	0.000184383;	
69;	3;	0.000184384;	
69;	4;	0.000184384;	
69;	5;	0.000184384;	
69;	6;	0.000184384;	
69;	7;	0.000184384;	
69;	8;	0.000184384;	
69;	9;	0.000184384;	
69;	10;	 ;	
70;	0;	0.000184384;	
70;	1;	0.000184384;	
70;	2;	0.000184384;	
70;	3;	0.000184384;	
70;	4;	0.000184384;	
70;	5;	0.000184384;	
70;	6;	0.000184384;	
70;	7;	0.000184384;	
70;	8;	0.000184384;	
70;	9;	0.000184384;	
70;	10;	 ;	
71;	0;	0.000184384;	
71;	1;	0.000184384;	
71;	2;	0.000184384;	
71;	3;	0.000184384;	
71;	4;	0.000184384;	
71;	5;	0.000184384;	
71;	6;	0.000184384;	
71;	7;	0.000184384;	
71;	8;	0.000184384;	
71;	9;	0.000184384;	
71;	10;	 ;	
72;	0;	0.000184384;	
72;	1;	0.000184384;	
72;	2;	0.000184384;	
72;	3;	0.000184384;	
72;	4;	0.000184384;	
72;	5;	0.000184384;	
72;	6;	0.000184384;	
72;	7;	0.000184384;	
72;	8;	0.000184384;	
72;	9;	0.000184384;	
72;	10;	 ;	
73;	0;	0.000184384;	
73;	1;	0.000184384;	
73;	2;	0.000184384;	
73;	3;	0.000184384;	
73;	4;	0.000184384;	
73;	5;	0.000184384;	
73;	6;	0.000184384;	
73;	7;	0.000184384;	
73;	8;	0.000184384;	
73;	9;	0.000184384;	
73;	10;	 ;	
74;	0;	0.000184384;	
74;	1;	0.000184384;	
74;	2;	0.000184383;	
74;	3;	0.000184384;	
74;	4;	0.000184384;	
74;	5;	0.000184384;	
74;	6;	0.000184384;	
74;	7;	0.000184384;	
74;	8;	0.000184384;	
74;	9;	0.000184383;	
74;	10;	 ;	
75;	0;	0.000184384;	
75;	1;	0.000184384;	
75;	2;	0.000184384;	
75;	3;	0.000184384;	
75;	4;	0.000184384;	
75;	5;	0.000184384;	
75;	6;	0.000184384;	
75;	7;	0.000184384;	
75;	8;	0.000184384;	
75;	9;	0.000184384;	
75;	10;	 ;	
76;	0;	0.000184384;	
76;	1;	0.000184384;	
76;	2;	0.000184384;	
76;	3;	0.000184384;	
76;	4;	0.000184384;	
76;	5;	0.000184384;	
76;	6;	0.000184384;	
76;	7;	0.000184384;	
76;	8;	0.000184384;	
76;	9;	0.000184383;	
76;	10;	 ;	
77;	0;	0.000184384;	
77;	1;	0.000184384;	
77;	2;	0.000184383;	
77;	3;	0.000184384;	
77;	4;	0.000184384;	
77;	5;	0.000184384;	
77;	6;	0.000184384;	
77;	7;	0.000184384;	
77;	8;	0.000184384;	
77;	9;	0.000184384;	
77;	10;	 ;	
78;	0;	0.000184384;	
78;	1;	0.000184384;	
78;	2;	0.000184384;	
78;	3;	0.000184384;	
78;	4;	0.000184384;	
78;	5;	0.000184384;	
78;	6;	0.000184384;	
78;	7;	0.000184384;	
78;	8;	0.000184384;	
78;	9;	0.000184384;	
78;	10;	 ;	
79;	0;	0.000184384;	
79;	1;	0.000184384;	
79;	2;	0.000184384;	
79;	3;	0.000184384;	
79;	4;	0.000184384;	
79;	5;	0.000184384;	
79;	6;	0.000184384;	
79;	7;	0.000184384;	
79;	8;	0.000184384;	
79;	9;	0.000184384;	
79;	10;	 ;	
80;	0;	0.000184384;	
80;	1;	0.000184384;	
80;	2;	0.000184384;	
80;	3;	0.000184384;	
80;	4;	0.000184384;	
80;	5;	0.000184384;	
80;	6;	0.000184384;	
80;	7;	0.000184384;	
80;	8;	0.000184384;	
80;	9;	0.000184384;	
80;	10;	 ;	
81;	0;	0.000184384;	
81;	1;	0.000184384;	
81;	2;	0.000184384;	
81;	3;	0.000184384;	
81;	4;	0.000184384;	
81;	5;	0.000184384;	
81;	6;	0.000184384;	
81;	7;	0.000184384;	
81;	8;	0.000184384;	
81;	9;	0.000184384;	
81;	10;	 ;	
82;	0;	0.000184384;	
82;	1;	0.000184384;	
82;	2;	0.000184384;	
82;	3;	0.000184384;	
82;	4;	0.000184384;	
82;	5;	0.000184384;	
82;	6;	0.000184384;	
82;	7;	0.000184384;	
82;	8;	0.000184384;	
82;	9;	0.000184384;	
82;	10;	 ;	
83;	0;	0.000184384;	
83;	1;	0.000184384;	
83;	2;	0.000184384;	
83;	3;	0.000184384;	
83;	4;	0.000184384;	
83;	5;	0.000184384;	
83;	6;	0.000184384;	
83;	7;	0.000184384;	
83;	8;	0.000184384;	
83;	9;	0.000184384;	
83;	10;	 ;	
84;	0;	0.000184384;	
84;	1;	0.000184384;	
84;	2;	0.000184384;	
84;	3;	0.000184384;	
84;	4;	0.000184384;	
84;	5;	0.000184384;	
84;	6;	0.000184384;	
84;	7;	0.000184384;	
84;	8;	0.000184384;	
84;	9;	0.000184384;	
84;	10;	 ;	
85;	0;	0.000184384;	
85;	1;	0.000184384;	
85;	2;	0.000184384;	
85;	3;	0.000184384;	
85;	4;	0.000184384;	
85;	5;	0.000184384;	
85;	6;	0.000184384;	
85;	7;	0.000184384;	
85;	8;	0.000184384;	
85;	9;	0.000184384;	
85;	10;	 ;	
86;	0;	0.000184384;	
86;	1;	0.000184384;	
86;	2;	0.000184384;	
86;	3;	0.000184384;	
86;	4;	0.000184384;	
86;	5;	0.000184384;	
86;	6;	0.000184384;	
86;	7;	0.000184384;	
86;	8;	0.000184384;	
86;	9;	0.000184384;	
86;	10;	 ;	
87;	0;	0.000184384;	
87;	1;	0.000184384;	
87;	2;	0.000184383;	
87;	3;	0.000184384;	
87;	4;	0.000184384;	
87;	5;	0.000184384;	
87;	6;	0.000184384;	
87;	7;	0.000184384;	
87;	8;	0.000184384;	
87;	9;	0.000184384;	
87;	10;	 ;	
88;	0;	0.000184384;	
88;	1;	0.000184384;	
88;	2;	0.000184384;	
88;	3;	0.000184384;	
88;	4;	0.000184384;	
88;	5;	0.000184384;	
88;	6;	0.000184384;	
88;	7;	0.000184384;	
88;	8;	0.000184384;	
88;	9;	0.000184384;	
88;	10;	 ;	
89;	0;	0.000184384;	
89;	1;	0.000184384;	
89;	2;	0.000184384;	
89;	3;	0.000184384;	
89;	4;	0.000184384;	
89;	5;	0.000184384;	
89;	6;	0.000184384;	
89;	7;	0.000184384;	
89;	8;	0.000184384;	
89;	9;	0.000184384;	
89;	10;	 ;	
90;	0;	0.000184384;	
90;	1;	0.000184384;	
90;	2;	0.000184384;	
90;	3;	0.000184384;	
90;	4;	0.000184384;	
90;	5;	0.000184384;	
90;	6;	0.000184384;	
90;	7;	0.000184384;	
90;	8;	0.000184384;	
90;	9;	0.000184385;	
90;	10;	 ;	
91;	0;	0.000184384;	
91;	1;	0.000184384;	
91;	2;	0.000184384;	
91;	3;	0.000184384;	
91;	4;	0.000184384;	
91;	5;	0.000184384;	
91;	6;	0.000184384;	
91;	7;	0.000184384;	
91;	8;	0.000184384;	
91;	9;	0.000184384;	
91;	10;	 ;	
92;	0;	0.000184384;	
92;	1;	0.000184384;	
92;	2;	0.000184383;	
92;	3;	0.000184384;	
92;	4;	0.000184384;	
